Dimensions,Threshold,Precision,Recall,F1_score,Train_accuracy
2,5000,0.5008824567596187,1.0,0.667450611476952,0.0034806295399515
2,6000,0.5014245014245015,0.992248062015504,0.6661935178613674,0.0142251815980629
2,7000,0.5030395136778115,0.9330514446793516,0.6536657615403605,0.0762711864406779
2,8000,0.500669344042838,0.7906976744186046,0.6131147540983606,0.1968825665859564
2,9000,0.4903047091412742,0.6236786469344608,0.5490074441687345,0.3283898305084746
2,10000,0.4779202279202279,0.4728682170542636,0.4753808005667729,0.4727602905569007
2,11000,0.4645454545454545,0.3601127554615926,0.4057165541881699,0.5791464891041163
2,12000,0.453125,0.2656800563777308,0.3349622390048866,0.6734261501210653
2,13000,0.4357638888888889,0.1768851303735024,0.2516290726817042,0.7826876513317191
2,14000,0.4341085271317829,0.1183932346723044,0.1860465116279069,0.8427663438256658
2,15000,0.4034334763948498,0.0662438336856941,0.1138014527845036,0.8964891041162227
3,5000,0.5010593220338984,1.0,0.6676076217360621,0.0033292978208232
3,6000,0.5017818959372773,0.992248062015504,0.666508875739645,0.0139225181598062
3,7000,0.5034246575342466,0.9323467230443976,0.6538176426982951,0.0758171912832929
3,8000,0.5008928571428571,0.7906976744186046,0.6132823175731074,0.1967312348668281
3,9000,0.4843835616438356,0.6229739252995067,0.5450061652281134,0.3323244552058111
3,10000,0.4745403111739745,0.4728682170542636,0.4737027885633604,0.4744249394673123
3,11000,0.4735866543095459,0.3601127554615926,0.4091273018414731,0.5759685230024213
3,12000,0.4624846248462484,0.2649753347427766,0.3369175627240143,0.6711561743341404
3,13000,0.4682835820895522,0.1768851303735024,0.256777493606138,0.7769370460048426
3,14000,0.4429708222811671,0.1176885130373502,0.1859688195991091,0.8414043583535109
3,15000,0.415929203539823,0.0662438336856941,0.1142857142857143,0.8954297820823245
4,5000,0.5005291005291005,1.0,0.6671368124118476,0.0037832929782082
4,6000,0.501067615658363,0.992248062015504,0.6658784582643652,0.0145278450363196
4,7000,0.5045766590389016,0.9323467230443976,0.6547884187082406,0.0759685230024213
4,8000,0.5015659955257271,0.7899929527836504,0.6135741652983033,0.1970338983050847
4,9000,0.4835706462212486,0.6222692036645525,0.5442218798151002,0.3336864406779661
4,10000,0.4695591322603219,0.4728682170542636,0.4712078651685393,0.4780569007263922
4,11000,0.4598012646793135,0.3587033121916843,0.4030087094220111,0.5821731234866828
4,12000,0.4469606674612634,0.2642706131078224,0.3321523472099202,0.677360774818402
4,13000,0.4514388489208633,0.1768851303735024,0.2541772151898734,0.7805690072639225
4,14000,0.4360313315926893,0.1176885130373502,0.1853496115427303,0.8427663438256658
4,15000,0.3991416309012875,0.0655391120507399,0.112590799031477,0.8967917675544794
5,5000,0.5010593220338984,1.0,0.6676076217360621,0.0033292978208232
5,6000,0.50124599501602,0.992248062015504,0.6660359508041628,0.0143765133171912
5,7000,0.5036162923486868,0.9323467230443976,0.6539792387543253,0.0767251815980629
5,8000,0.4936151475121092,0.7899929527836504,0.6075880758807588,0.2024818401937046
5,9000,0.4762675296655879,0.6222692036645525,0.5395661472655057,0.3379237288135593
5,10000,0.4624396967608545,0.4728682170542636,0.467595818815331,0.4813861985472155
5,11000,0.4476693051890941,0.3587033121916843,0.3982785602503912,0.5867130750605327
5,12000,0.4261363636363636,0.2642706131078224,0.3262287951283166,0.6837167070217918
5,13000,0.4218487394957983,0.1768851303735024,0.2492552135054617,0.7864709443099274
5,14000,0.4043583535108959,0.1176885130373502,0.1823144104803493,0.8473062953995157
5,15000,0.3705179282868526,0.0655391120507399,0.111377245508982,0.8995157384987893
6,5000,0.5010593220338984,1.0,0.6676076217360621,0.0033292978208232
6,6000,0.5017818959372773,0.992248062015504,0.666508875739645,0.0139225181598062
6,7000,0.5051546391752577,0.9323467230443976,0.6552748885586923,0.074455205811138
6,8000,0.501788908765653,0.7906976744186046,0.613953488372093,0.1962772397094431
6,9000,0.4894795127353267,0.6229739252995067,0.5482170542635658,0.3302058111380145
6,10000,0.4748761500353857,0.4728682170542636,0.4738700564971751,0.4744249394673123
6,11000,0.4553571428571428,0.3594080338266385,0.4017329657345412,0.5823244552058111
6,12000,0.4492234169653524,0.2649753347427766,0.3333333333333333,0.6753934624697336
6,13000,0.4365217391304348,0.1768851303735024,0.2517552657973922,0.7828389830508474
6,14000,0.4185463659147869,0.1176885130373502,0.1837183718371837,0.8447336561743342
6,15000,0.3705179282868526,0.0655391120507399,0.111377245508982,0.899364406779661
7,5000,0.5007057163020465,1.0,0.6672936750529038,0.0036319612590799
7,6000,0.5016031350195939,0.992248062015504,0.6663511594888782,0.0140738498789346
7,7000,0.5036162923486868,0.9323467230443976,0.6539792387543253,0.0759685230024213
7,8000,0.5,0.7906976744186046,0.6126126126126126,0.1974878934624697
7,9000,0.4883977900552486,0.6229739252995067,0.5475379374419325,0.3305084745762712
7,10000,0.4796283059328091,0.4728682170542636,0.4762242725337118,0.4723062953995157
7,11000,0.467032967032967,0.3594080338266385,0.4062126642771804,0.5780871670702179
7,12000,0.4596577017114914,0.2649753347427766,0.3361645060348681,0.6725181598062954
7,13000,0.4630996309963099,0.1768851303735024,0.2559918408975012,0.7778450363196125
7,14000,0.4371727748691099,0.1176885130373502,0.1854525263742365,0.8421610169491526
7,15000,0.4043478260869565,0.0655391120507399,0.1127956337174045,0.8961864406779662
8,5000,0.5003526093088858,1.0,0.6669800235017627,0.0039346246973365
8,6000,0.5021398002853067,0.992248062015504,0.6668245323229932,0.0136198547215496
8,7000,0.5005675368898979,0.9323467230443976,0.6514032496307238,0.0788438256658595
8,8000,0.4968999114260407,0.7906976744186046,0.6102801196627685,0.1997578692493946
8,9000,0.4822695035460992,0.6229739252995067,0.5436654366543666,0.334594430992736
8,10000,0.475886524822695,0.4728682170542636,0.4743725698126547,0.4741222760290557
8,11000,0.4598737601442741,0.3594080338266385,0.4034810126582279,0.5817191283292978
8,12000,0.4491017964071856,0.2642706131078224,0.3327417923691215,0.6766041162227603
8,13000,0.4419014084507042,0.1768851303735024,0.2526421741318571,0.7823849878934624
8,14000,0.4185463659147869,0.1176885130373502,0.1837183718371837,0.8451876513317191
8,15000,0.3705179282868526,0.0655391120507399,0.111377245508982,0.8995157384987893
9,5000,0.5007057163020465,1.0,0.6672936750529038,0.0036319612590799
9,6000,0.50124599501602,0.992248062015504,0.6660359508041628,0.0143765133171912
9,7000,0.5026595744680851,0.9323467230443976,0.6531720562823994,0.0770278450363196
9,8000,0.4995547640249332,0.7906976744186046,0.6122783083219645,0.1977905569007264
9,9000,0.4791327913279132,0.6229739252995067,0.5416666666666666,0.3362590799031477
9,10000,0.4695591322603219,0.4728682170542636,0.4712078651685393,0.4768462469733656
9,11000,0.4525288376220053,0.3594080338266385,0.4006284367635507,0.5839891041162227
9,12000,0.4416961130742049,0.2642706131078224,0.3306878306878307,0.6787227602905569
9,13000,0.4350086655112651,0.1768851303735024,0.251503006012024,0.7832929782082324
9,14000,0.4217171717171717,0.1176885130373502,0.1840220385674931,0.8447336561743342
9,15000,0.382716049382716,0.0655391120507399,0.111913357400722,0.8981537530266344
10,5000,0.5007057163020465,1.0,0.6672936750529038,0.0036319612590799
10,6000,0.5019607843137255,0.992248062015504,0.6666666666666666,0.0137711864406779
10,7000,0.5036162923486868,0.9323467230443976,0.6539792387543253,0.0767251815980629
10,8000,0.4982222222222222,0.7899929527836504,0.611065685472881,0.1993038740920097
10,9000,0.4851648351648351,0.6222692036645525,0.5452300092621178,0.3329297820823244
10,10000,0.4803149606299212,0.4728682170542636,0.4765624999999999,0.473365617433414
10,11000,0.4699907663896583,0.3587033121916843,0.4068745003996802,0.5785411622276029
10,12000,0.4658385093167702,0.2642706131078224,0.3372302158273381,0.6723668280871671
10,13000,0.4571948998178506,0.1768851303735024,0.2550813008130081,0.7798123486682809
10,14000,0.4394736842105263,0.1176885130373502,0.1856586992773763,0.8423123486682809
10,15000,0.384297520661157,0.0655391120507399,0.1119807344972907,0.8981537530266344
12,5000,0.5003526093088858,1.0,0.6669800235017627,0.003934624697336562
12,6000,0.5007112375533428,0.9922480620155039,0.6655636965256441,0.014830508474576272
12,7000,0.5009458948164964,0.9330514446793516,0.6518956179222059,0.07793583535108958
12,8000,0.4993324432576769,0.7906976744186046,0.6121112929623568,0.1977905569007264
12,9000,0.48468271334792123,0.6243833685694151,0.5457345241761626,0.33171912832929784
12,10000,0.47357293868921774,0.47357293868921774,0.47357293868921774,0.47442493946731235
12,11000,0.46160794941282746,0.36011275546159266,0.4045922406967537,0.5802058111380145
12,12000,0.4498806682577566,0.2656800563777308,0.33407177669472754,0.674182808716707
12,13000,0.4490161001788909,0.17688513037350245,0.2537917087967644,0.7801150121065376
12,14000,0.42317380352644834,0.11839323467230443,0.18502202643171808,0.8441283292978208
12,15000,0.3805668016194332,0.06624383368569416,0.1128451380552221,0.8986077481840193
