n_components,Threshold,Precision,Recall,F1_score,Train_accuracy
2,50,0.5012363122571529,1.0,0.6677647058823529,0.0018159806295399517
2,60,0.5021231422505308,1.0,0.6685512367491167,0.0034806295399515737
2,70,0.5033723819666311,0.9992952783650458,0.6694995278564683,0.008171912832929782
2,80,0.505907626208378,0.9957716701902748,0.6709401709401708,0.016041162227602906
2,90,0.51183970856102,0.9901338971106413,0.674831892411143,0.034957627118644065
2,100,0.5209513023782559,0.9725158562367865,0.6784660766961653,0.08928571428571429
2,110,0.5249603803486529,0.9337561663143058,0.6720770986558456,0.14527845036319612
2,120,0.5303225806451612,0.86892177589852,0.6586538461538461,0.20823244552058112
2,130,0.5264159923845788,0.7794221282593375,0.628409090909091,0.2804176755447942
2,140,0.5145631067961165,0.6723044397463002,0.5829514207149404,0.35184624697336564
2,150,0.49878048780487805,0.57646229739253,0.5348152991173586,0.41510290556900725
2,160,0.4803921568627451,0.4834390415785765,0.4819107832806463,0.47548426150121065
2,170,0.46209098164405427,0.4080338266384778,0.4333832335329341,0.5338983050847458
2,180,0.45429362880886426,0.346723044397463,0.3932853717026379,0.5870157384987893
2,190,0.4546448087431694,0.29316420014094435,0.3564695801199657,0.6324152542372882
2,200,0.4491634491634492,0.2459478505990134,0.3178506375227687,0.6781174334140436
2,210,0.42879019908116384,0.19732205778717407,0.2702702702702703,0.724727602905569
2,220,0.4091710758377425,0.1634954193093728,0.2336354481369587,0.7586259079903148
2,230,0.39634146341463417,0.13742071881606766,0.20408163265306123,0.7882869249394673
2,240,0.38221153846153844,0.11205073995771671,0.17329700272479565,0.81159200968523
2,250,0.35511363636363635,0.08809020436927413,0.1411631846414455,0.8341404358353511
2,260,0.34782608695652173,0.07329105003523609,0.12107101280558791,0.8569915254237288
2,270,0.33725490196078434,0.06060606060606061,0.1027479091995221,0.8746973365617433
2,280,0.3568075117370892,0.053558844256518676,0.09313725490196079,0.8948244552058111
2,290,0.3516483516483517,0.04510218463706836,0.07995003123048096,0.909503631961259
2,300,0.3597122302158273,0.035236081747709654,0.06418485237483953,0.9247881355932204
2,310,0.35294117647058826,0.02959830866807611,0.054616384915474644,0.9356840193704601
2,320,0.32710280373831774,0.02466525722339676,0.045871559633027525,0.9482445520581114
2,330,0.34444444444444444,0.021846370683579985,0.04108681245858184,0.9558111380145279
2,340,0.33783783783783783,0.017618040873854827,0.033489618218352314,0.9621670702179177
2,350,0.3384615384615385,0.015503875968992248,0.029649595687331533,0.9656476997578692
2,360,0.3888888888888889,0.014799154334038054,0.0285132382892057,0.9698849878934624
2,370,0.4,0.012684989429175475,0.024590163934426233,0.974727602905569
2,380,0.3902439024390244,0.01127554615926709,0.021917808219178086,0.9768462469733656
2,390,0.42857142857142855,0.010570824524312896,0.02063273727647868,0.9792675544794189
2,400,0.42857142857142855,0.008456659619450317,0.0165860400829302,0.9810835351089588
2,410,0.4444444444444444,0.008456659619450317,0.016597510373443987,0.9818401937046005
2,420,0.4583333333333333,0.007751937984496124,0.015246015246015245,0.9836561743341404
2,430,0.5238095238095238,0.007751937984496124,0.015277777777777779,0.9854721549636803
2,440,0.4666666666666667,0.004933051444679351,0.009762900976290097,0.986682808716707
2,450,0.4666666666666667,0.004933051444679351,0.009762900976290097,0.9872881355932204
2,460,0.4666666666666667,0.004933051444679351,0.009762900976290097,0.9881961259079903
2,470,0.42857142857142855,0.004228329809725159,0.00837404047452896,0.9881961259079903
2,480,0.42857142857142855,0.004228329809725159,0.00837404047452896,0.9888014527845036
2,490,0.46153846153846156,0.004228329809725159,0.008379888268156426,0.9891041162227603
3,50,0.5014134275618375,1.0,0.6679218639679926,0.002421307506053269
3,60,0.5023025150549061,0.9992952783650458,0.6685525695426685,0.003934624697336562
3,70,0.5040881621045148,0.9992952783650458,0.6701323251417769,0.009533898305084746
3,80,0.5059160989602008,0.9943622269203665,0.6706273764258557,0.017554479418886198
3,90,0.5125958378970427,0.9894291754756871,0.6753246753246752,0.041918886198547216
3,100,0.5220868240670221,0.9661733615221987,0.6778739184177999,0.1012409200968523
3,110,0.5266106442577031,0.9274136715997181,0.6717713118938234,0.15677966101694915
3,120,0.5318777292576419,0.8583509513742071,0.6567808034510649,0.22442493946731235
3,130,0.5278592375366569,0.7610993657505285,0.6233766233766234,0.3016041162227603
3,140,0.5094654788418709,0.6448202959830867,0.5692068429237948,0.3686440677966102
3,150,0.49398353388220395,0.5496828752642706,0.5203468979319547,0.43417070217917675
3,160,0.47709090909090907,0.46229739252995067,0.46957766642806015,0.4953087167070218
3,170,0.4573839662447257,0.38195912614517263,0.41628264208909366,0.5532687651331719
3,180,0.4573412698412698,0.324876673713883,0.3798928718582612,0.6080508474576272
3,190,0.44807467911318555,0.27061310782241016,0.33743409490333925,0.6554176755447942
3,200,0.44600280504908835,0.22410147991543342,0.29831144465290804,0.7038438256658596
3,210,0.4169435215946844,0.17688513037350245,0.2483918852053439,0.7472760290556901
3,220,0.3988212180746562,0.1430584918957012,0.21058091286307054,0.7817796610169492
3,230,0.3881278538812785,0.11980267794221283,0.1830910070005385,0.8099273607748184
3,240,0.38005390835579517,0.09936575052854123,0.15754189944134078,0.8306598062953995
3,250,0.36212624584717606,0.07681465821000705,0.1267441860465116,0.8519975786924939
3,260,0.3563218390804598,0.06553911205073996,0.11071428571428572,0.8734866828087167
3,270,0.3561643835616438,0.05496828752642706,0.09523809523809523,0.8943704600484261
3,280,0.36363636363636365,0.04792107117688513,0.0846824408468244,0.9096549636803875
3,290,0.3581081081081081,0.037350246652572236,0.06764518187619656,0.9225181598062954
3,300,0.36134453781512604,0.030303030303030304,0.05591677503250975,0.937953995157385
3,310,0.336734693877551,0.023255813953488372,0.043506921555702044,0.9473365617433414
3,320,0.3333333333333333,0.019732205778717406,0.037258815701929474,0.9570217917675545
3,330,0.3382352941176471,0.01620859760394644,0.03093476798924008,0.9644370460048426
3,340,0.34545454545454546,0.013389711064129669,0.025780189959294438,0.9692796610169492
3,350,0.3617021276595745,0.011980267794221282,0.023192360163710776,0.9727602905569007
3,360,0.4,0.01127554615926709,0.02193283070596299,0.9766949152542372
3,370,0.4,0.008456659619450317,0.016563146997929608,0.9795702179176755
3,380,0.39285714285714285,0.007751937984496124,0.015203870076019348,0.9813861985472155
3,390,0.4230769230769231,0.007751937984496124,0.01522491349480969,0.9832021791767555
3,400,0.4090909090909091,0.006342494714587738,0.012491325468424703,0.9850181598062954
3,410,0.42857142857142855,0.006342494714587738,0.012499999999999999,0.9856234866828087
3,420,0.5,0.006342494714587738,0.012526096033402923,0.987590799031477
3,430,0.5294117647058824,0.006342494714587738,0.012534818941504178,0.9881961259079903
3,440,0.46153846153846156,0.004228329809725159,0.008379888268156426,0.9883474576271186
3,450,0.46153846153846156,0.004228329809725159,0.008379888268156426,0.9888014527845036
3,460,0.4166666666666667,0.0035236081747709656,0.0069881201956673656,0.9892554479418886
3,470,0.36363636363636365,0.0028188865398167725,0.005594405594405594,0.989406779661017
3,480,0.3,0.0021141649048625794,0.004198740377886634,0.9897094430992736
3,490,0.3,0.0021141649048625794,0.004198740377886634,0.989860774818402
4,50,0.5015906680805938,1.0,0.6680790960451978,0.002572639225181598
4,60,0.5023025150549061,0.9992952783650458,0.6685525695426685,0.00423728813559322
4,70,0.5039118065433855,0.9985905567300916,0.6698180099267314,0.009533898305084746
4,80,0.5061019382627423,0.9936575052854123,0.6706302021403091,0.018613801452784504
4,90,0.5129893889498719,0.9880197322057788,0.6753371868978806,0.04449152542372881
4,100,0.5217889908256881,0.9619450317124736,0.6765799256505576,0.10623486682808717
4,110,0.5263798701298701,0.9140239605355884,0.668040175122328,0.16298426150121065
4,120,0.5316231755860239,0.8470754052149401,0.6532608695652173,0.23032687651331718
4,130,0.5214570858283433,0.7364341085271318,0.6105755185509786,0.3090193704600484
4,140,0.5031339031339032,0.6222692036645525,0.5563957151858853,0.37621065375302665
4,150,0.4899285250162443,0.5313601127554616,0.5098039215686274,0.4427966101694915
4,160,0.4692192192192192,0.4404510218463707,0.4543802253725918,0.5042372881355932
4,170,0.45565217391304347,0.3692741367159972,0.4079408330089529,0.5631053268765133
4,180,0.45041322314049587,0.3072586328400282,0.36531210724759117,0.621822033898305
4,190,0.44242424242424244,0.2572233967582805,0.3253119429590018,0.6651029055690073
4,200,0.43601190476190477,0.20648343904157856,0.28024868483978954,0.7186743341404358
4,210,0.3986013986013986,0.160676532769556,0.22903063787041683,0.7559019370460048
4,220,0.38204592901878914,0.12896405919661733,0.1928345626975764,0.7899515738498789
4,230,0.3740831295843521,0.10782241014799154,0.1673960612691466,0.8165859564164649
4,240,0.36950146627565983,0.08879492600422834,0.1431818181818182,0.8397397094430993
4,250,0.33916083916083917,0.06835799859055673,0.11378299120234603,0.8594128329297821
4,260,0.34309623430962344,0.057787174066243834,0.09891435464414956,0.8809019370460048
4,270,0.3399014778325123,0.048625792811839326,0.08508014796547474,0.899818401937046
4,280,0.3374233128834356,0.03875968992248062,0.06953223767383059,0.914043583535109
4,290,0.3358208955223881,0.03171247357293869,0.057952350289761756,0.9278147699757869
4,300,0.35454545454545455,0.02748414376321353,0.05101373446697188,0.9429479418886199
4,310,0.28735632183908044,0.017618040873854827,0.033200531208499334,0.9539951573849879
4,320,0.3026315789473684,0.01620859760394644,0.030769230769230764,0.9620157384987893
4,330,0.3064516129032258,0.013389711064129669,0.02565833896016205,0.9680690072639225
4,340,0.30612244897959184,0.010570824524312896,0.020435967302452316,0.972003631961259
4,350,0.3333333333333333,0.009161381254404511,0.01783264746227709,0.976089588377724
4,360,0.34375,0.007751937984496124,0.01516195727084769,0.9795702179176755
4,370,0.4230769230769231,0.007751937984496124,0.01522491349480969,0.9818401937046005
4,380,0.4583333333333333,0.007751937984496124,0.015246015246015245,0.9848668280871671
4,390,0.47368421052631576,0.006342494714587738,0.012517385257301807,0.9869854721549637
4,400,0.5294117647058824,0.006342494714587738,0.012534818941504178,0.9886501210653753
4,410,0.5294117647058824,0.006342494714587738,0.012534818941504178,0.9895581113801453
4,420,0.5333333333333333,0.005637773079633545,0.011157601115760113,0.9904661016949152
4,430,0.5384615384615384,0.004933051444679351,0.00977653631284916,0.9916767554479419
4,440,0.5454545454545454,0.004228329809725159,0.00839160839160839,0.9918280871670703
4,450,0.5,0.0035236081747709656,0.006997900629811057,0.9921307506053268
4,460,0.375,0.0021141649048625794,0.004204625087596356,0.9922820823244553
4,470,0.375,0.0021141649048625794,0.004204625087596356,0.9925847457627118
4,480,0.16666666666666666,0.0007047216349541931,0.0014035087719298247,0.9927360774818402
4,490,0.2,0.0007047216349541931,0.0014044943820224719,0.9928874092009685
5,50,0.5015906680805938,1.0,0.6680790960451978,0.002723970944309927
5,60,0.5023025150549061,0.9992952783650458,0.6685525695426685,0.0043886198547215495
5,70,0.503735325506937,0.9978858350951374,0.6695035460992907,0.01074455205811138
5,80,0.5061107117181883,0.9922480620155039,0.6703165912877885,0.01921912832929782
5,90,0.5133846718005134,0.9866102889358703,0.6753497346840328,0.04630750605326876
5,100,0.522256331542594,0.9591261451726568,0.6762732919254658,0.10865617433414043
5,110,0.5271096616388096,0.9112050739957717,0.6678719008264462,0.16722154963680388
5,120,0.5302013422818792,0.8350951374207188,0.6486042692939246,0.2381961259079903
5,130,0.5222672064777328,0.7272727272727273,0.6079528718703977,0.3170399515738499
5,140,0.5005800464037123,0.6081747709654687,0.5491568565065225,0.38407990314769974
5,150,0.48877146631439894,0.5214940098661028,0.5046027957722469,0.4536924939467312
5,160,0.46671826625387,0.4249471458773784,0.44485429730726667,0.5154358353510896
5,170,0.452914798206278,0.3558844256518675,0.3985793212312549,0.5761198547215496
5,180,0.44562899786780386,0.29457364341085274,0.3546881629189648,0.6310532687651331
5,190,0.44209215442092153,0.25017618040873857,0.3195319531953195,0.6772094430992736
5,200,0.43010752688172044,0.19732205778717407,0.27053140096618356,0.7288135593220338
5,210,0.39517625231910947,0.15010570824524314,0.21756894790602657,0.7652845036319612
5,220,0.3744394618834081,0.11768851303735024,0.17908847184986595,0.7978208232445521
5,230,0.37402597402597404,0.1014799154334038,0.15964523281596452,0.8265738498789347
5,240,0.35987261146496813,0.07963354474982381,0.13040969417195614,0.8467009685230025
5,250,0.34065934065934067,0.06553911205073996,0.1099290780141844,0.8681900726392252
5,260,0.3482142857142857,0.05496828752642706,0.09494826536822884,0.888317191283293
5,270,0.3333333333333333,0.04298801973220578,0.07615480649188514,0.9081416464891041
5,280,0.31724137931034485,0.03241719520789288,0.0588235294117647,0.9219128329297821
5,290,0.31092436974789917,0.026074700493305146,0.04811443433029909,0.9371973365617433
5,300,0.30851063829787234,0.0204369274136716,0.03833443489755453,0.9502118644067796
